Fecha,Departamento,Municipio,Barrio,Clase de sitio,Arma empleada,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR
1/01/18,ANTIOQUIA,EL CARMEN DE VIBORAL,AURORA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,5148000,AUTOMOVIL,RENAULT,LINEA STANDARD,2010,NEGRO
1/01/18,ATLÁNTICO,SOLEDAD,CACHIMBERO,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,8758000,RETROEXCAVADORA,CATERPILLAR,420D,2013,AMARILLO
1/01/18,CAUCA,POPAYÁN (CT),VILLA DEL NORTE,VIAS PUBLICAS,LLAVE MAESTRA,19001000,AUTOMOVIL,CHEVROLET,SWITF TAXI,1997,BLANCO
1/01/18,CESAR,VALLEDUPAR (CT),LA VEGA,CARRETERA,LLAVE MAESTRA,20001000,CAMIONETA,HYUNDAI,H1,2013,ROJO
1/01/18,CUNDINAMARCA,BOGOTÁ D.C. (CT),BACHUE E-10,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,RENAULT,-,1974,AZUL
1/01/18,TOLIMA,CHAPARRAL,VERSALLES,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,73168000,AUTOMOVIL,RENAULT,STEPWAY,2015,ROJO
1/01/18,VALLE,CALI (CT),JORGE ELIECER GAITAN E6,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,76001000,AUTOMOVIL,CHEVROLET,SPRINT,1994,VERDE
1/01/18,VALLE,CALI (CT),LA NUEVA BASE E8,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,CHEVROLET,SWIFT,1994,PLATEADO
2/01/18,ANTIOQUIA,MEDELLÍN (CT),LA AGUACATALA C-14,EMPRESA,SIN EMPLEO DE ARMAS,5001000,AUTOMOVIL,NISSAN,MARCH,2017,BLANCO
2/01/18,ATLÁNTICO,BARRANQUILLA (CT),CARLOS MEISEL,VIAS PUBLICAS,ARMA DE FUEGO,8001000,AUTOMOVIL,RENAULT,LOGAN,2014,GRIS
2/01/18,CAUCA,POPAYÁN (CT),VERSALLES,VIAS PUBLICAS,LLAVE MAESTRA,19001000,CAMPERO,MITSUBISHI,MONTERO V 12 VNDL,1995,AZUL
2/01/18,CESAR,VALLEDUPAR (CT),BELLA VISTA,VIAS PUBLICAS,LLAVE MAESTRA,20001000,AUTOMOVIL,MAZDA,ALLEGRO,1995,ESTRATO DE PERLA
2/01/18,CUNDINAMARCA,BOGOTÁ D.C. (CT),VILLA MARIA I E-11,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,11001000,VEHICULO-PANEL,MAZDA,B 2200,2010,BLANCO
